,Community_Name,Agg_Ass,TOT_POP,EMP,FOR_BORN,COMMperc,INSTperc,VACperc,LING_ISO,TOT_COMM,WORK_AT_HOME,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,White,Hisp,Black,Asian,Other,EMP_rate
182,North Lawndale,865,35947,11064,1169,0.035104055,0.061707924000000004,0.144766948,965,10376,459,5076,988,3673,455,383,1896,39164,54,271,0.31
183,South Lawndale,493,74851,25763,28772,0.036603254,0.10827716400000001,0.075782124,25195,24684,793,13099,5284,4115,1974,3210,75613,11759,116,373,0.34
184,Lower West Side,364,32888,16640,11449,0.038704341,0.052797323,0.038583413,9138,15855,457,6947,1378,5276,1931,3587,39144,774,121,405,0.51
185,The Loop,168,35880,22828,8256,0.201401369,0.032174467000000005,0.044588046,2037,20744,1847,5068,730,5423,8989,10169,975,3221,1625,398,0.64
186,Near South Side,170,23620,16092,4972,0.281168602,0.042586872000000005,0.073322884,1246,14676,1169,6810,937,4093,2006,2393,377,6052,516,171,0.68
187,Armour Square,75,13455,5849,7813,0.1404289,0.01764803,0.023159421,6578,5492,183,1984,934,1138,1265,2062,448,2046,7305,171,0.43
188,Douglas,526,20781,8306,3585,0.048570137,0.219301489,0.11584497699999999,1604,7454,510,3278,432,2688,886,1745,295,22635,1390,405,0.4
189,Oakland,116,6645,2509,605,0.006141936,0.170415137,0.10711109,107,2271,146,1154,178,774,159,40,58,5957,8,47,0.38
190,Fuller Park,110,2439,650,106,0.036541775,0.043940457,0.11519739699999999,70,623,3,306,29,271,17,18,116,3225,6,55,0.27
191,Grand Boulevard,991,22313,8735,489,0.038042947,0.10118705800000001,0.201758491,222,8099,330,4182,690,2708,348,173,236,27370,21,206,0.39
192,Kenwood,129,17189,8039,2054,0.039071716,0.08115558,0.030673695,688,7216,597,3679,282,2526,619,2915,301,13900,785,462,0.47
193,Washington Park,505,11502,3651,166,0.021456036,0.047957518,0.17277519100000002,159,3380,132,1537,268,1228,284,74,134,13798,5,135,0.32
194,Hyde Park,89,26827,13741,5315,0.038700603,0.169456667,0.004407,1643,12288,965,3351,442,3602,4732,13020,1230,11290,3366,1014,0.51
195,Woodlawn,549,23268,7773,1196,0.026756925,0.10659886199999999,0.092221472,495,7127,449,3400,366,2271,994,761,288,25518,207,312,0.33
196,South Shore,958,50418,18598,1623,0.050344819000000006,0.038404554,0.043771218,952,17529,788,8256,1211,7301,529,703,636,59405,85,727,0.37
197,Chatham,457,31120,12360,627,0.094716866,0.036553046,0.038734253999999996,194,11407,591,6168,971,3778,302,121,220,36538,24,372,0.4
198,Avalon Park,133,9985,3486,160,0.056123677999999996,0.053758216,0.030787392,60,3157,216,2065,412,640,8,96,85,10816,19,131,0.35
199,South Chicago,583,28263,10283,2528,0.030754781000000002,0.034227959,0.284880238,2009,9760,221,5183,743,3475,231,1135,10565,26253,49,594,0.36
200,Burnside,51,2254,867,122,0.037428532,0.018896003999999997,0.08053956400000001,40,812,13,460,138,214,0,40,34,3180,7,33,0.38
201,Calumet Heights,139,13188,5652,528,0.032071222,0.02698524,0.063002524,266,5352,213,3355,367,1484,118,206,747,14817,33,171,0.43
202,Roseland,843,42433,14259,984,0.023322982000000003,0.10444277800000001,0.047977099,443,13463,453,7774,1009,4248,326,276,363,51568,31,485,0.34
203,Pullman,134,6613,2911,217,0.041264445,0.12136634199999999,0.155440678,246,2723,72,1591,221,854,57,757,795,7262,15,92,0.44
204,South Deering,173,14614,4907,1711,0.009157851,0.005804064,0.09175217599999999,1468,4601,179,3152,389,955,78,1287,5176,10335,8,184,0.34
205,East Side,112,23737,9032,6721,0.030613174,0.052316499999999995,0.068175072,5455,8853,99,6495,967,1028,339,6951,16113,242,57,290,0.38
206,West Pullman,618,27742,9653,993,0.019740853,0.038494341,0.095007491,925,8992,364,6005,866,1796,163,328,1699,34277,16,329,0.35
207,Riverdale,259,7394,1766,193,0.012719251,0.025894307999999998,0.1003405,140,1674,32,783,142,637,102,66,160,9479,7,97,0.24
208,Hegewisch,59,9418,4285,1516,0.014328831,0.005197825,0.127414316,1070,4229,5,3203,269,617,139,6553,2820,130,32,246,0.45
209,Garfield Ridge,149,36396,16962,8386,0.037285938,0.020475518,0.015452816999999999,6031,16172,321,12161,1571,2086,314,24878,5948,4419,328,528,0.47
210,Archer Heights,39,13142,5956,5207,0.041067888999999996,0.029570742999999997,0.025772852000000002,4234,5659,109,3638,741,988,262,6752,5485,74,48,285,0.45
211,Brighton Park,211,44813,18601,20224,0.045612207,0.026892445,0.032222292,16721,18027,179,10422,2995,3575,820,8300,34409,221,1288,694,0.42
212,McKinley Park,87,15767,6986,5574,0.067740793,0.027319146000000002,0.045995361,4381,6615,189,3413,864,1945,340,4607,9819,116,1212,208,0.44
213,Bridgeport,131,33637,17004,12067,0.041780364,0.024600043,0.056633067999999995,9171,16379,445,8235,2336,4026,1553,13819,10165,354,8808,548,0.51
214,New City,744,39561,14730,11936,0.052660833,0.028469063,0.099342446,10389,14302,230,7604,2639,3051,934,6789,25948,18252,146,586,0.37
215,West Elsdon,41,19237,8466,7212,0.062774539,0.020345065,0.01533463,5704,7973,156,5216,835,1554,310,7461,7875,74,136,375,0.44
216,Gage Park,203,40873,16980,16294,0.045310849,0.068439113,0.015087651,13973,16053,283,8714,3411,3086,819,4811,31079,2743,161,399,0.42
217,Clearing,45,25891,11986,4652,0.027611632,0.012099101999999999,0.009517199,3259,11620,113,8505,884,1692,418,17047,4688,137,152,307,0.46
218,West Lawn,92,33108,14241,11409,0.08952308699999999,0.055976738,0.020547618,8877,13401,168,8882,2034,2019,445,12540,15179,760,272,484,0.43
219,Chicago Lawn,561,53098,20135,12800,0.04675933400000001,0.028974019,0.023442663,10104,18991,414,11732,2513,4090,577,6190,21534,32240,393,1055,0.38
220,West Englewood,1169,29929,8386,829,0.025515227999999997,0.047332367,0.135948635,751,7946,245,4508,626,2421,346,164,459,44271,29,359,0.28
221,Englewood,1092,25075,6251,582,0.019448062,0.08642525699999999,0.21518815800000002,337,5759,299,2728,291,2503,114,178,347,39352,27,318,0.25
